event_id,date_time,event_name,event_type,message_number,raw_out_message_id,conversation_id
"7,637,442","September 2, 2021, 11:47 PM",,SUGGESTION_OFFERED,8,"11,204,000","17,032,522"
"7,637,378","September 2, 2021, 11:46 PM",hold,SUGGESTION_CLICKED,6,"11,203,951","17,032,522"
"7,637,371","September 2, 2021, 11:46 PM",hold,SUGGESTION_CLICKED,5,"11,203,918","17,032,522"
"7,637,362","September 2, 2021, 11:46 PM",hold,SUGGESTION_VIEWED,4,"11,203,917","17,032,522"
"7,637,360","September 2, 2021, 11:46 PM",verification,SUGGESTION_CLICKED,4,"11,203,917","17,032,522"
"7,637,332","September 2, 2021, 11:46 PM",,SUGGESTION_OFFERED,4,"11,203,917","17,032,522"
"7,637,289","September 2, 2021, 11:45 PM",verification,SUGGESTION_CLICKED,3,"11,203,863","17,032,522"
"7,637,246","September 2, 2021, 11:45 PM",verification,SUGGESTION_VIEWED,1,"11,203,825","17,032,522"
"7,637,244","September 2, 2021, 11:45 PM",help,SUGGESTION_CLICKED,1,"11,203,825","17,032,522"
"7,637,238","September 2, 2021, 11:45 PM",help,SUGGESTION_VIEWED,0,"11,203,821","17,032,522"
"7,637,237","September 2, 2021, 11:45 PM",welcome,SUGGESTION_CLICKED,0,"11,203,821","17,032,522"
"7,637,235","September 2, 2021, 11:45 PM",welcome,SUGGESTION_VIEWED,0,"11,203,821","17,032,522"
"7,637,231","September 2, 2021, 11:45 PM",,SUGGESTION_OFFERED,0,"11,203,821","17,032,522"
"7,637,231","September 2, 2021, 11:45 PM",,SUGGESTION_OFFERED,0,"11,203,821","17,032,522"
"7,636,990","September 2, 2021, 11:42 PM",closing,SUGGESTION_CLICKED,8,"11,203,615","17,031,898"
"7,636,921","September 2, 2021, 11:41 PM",,SUGGESTION_OFFERED,7,"11,203,611","17,031,898"
"7,636,854","September 2, 2021, 11:40 PM",subscription,SUGGESTION_VIEWED,4,"11,203,501","17,031,898"
"7,636,853","September 2, 2021, 11:40 PM",hold,SUGGESTION_VIEWED,4,"11,203,501","17,031,898"
"7,636,849","September 2, 2021, 11:40 PM",action,SUGGESTION_VIEWED,4,"11,203,501","17,031,898"
"7,636,791","September 2, 2021, 11:40 PM",,SUGGESTION_OFFERED,3,"11,203,474","17,031,898"
"7,636,734","September 2, 2021, 11:39 PM",apology,SUGGESTION_VIEWED,3,"11,203,474","17,031,898"
"7,636,733","September 2, 2021, 11:39 PM",,SUGGESTION_OFFERED,2,"11,203,409","17,031,898"
"7,636,729","September 2, 2021, 11:39 PM",verification,SUGGESTION_CLICKED,2,"11,203,409","17,031,898"
"7,636,690","September 2, 2021, 11:39 PM",verification,SUGGESTION_VIEWED,2,"11,203,409","17,031,898"
"7,636,688","September 2, 2021, 11:39 PM",,SUGGESTION_OFFERED,0,"11,203,377","17,031,898"
"7,636,687","September 2, 2021, 11:39 PM",,SUGGESTION_OFFERED,0,"11,203,377","17,031,898"
